_id/$oid	name	longitude	latitude	airbnbscore	trafficconvinence	surroundingrestaurantscore	safetyscore	overallscore	url	crime
5900522fec490a0264a2c82a	1bd Boston apt - Convenient & quiet	-71.13353879	42.28702561	0.993684211	0.597014925	0.912731451	0.946619217	0.862512451	https://www.airbnb.com/rooms/3229255	15
5900522fec490a0264a2c82b	Quiet Sunlit Attic Studio	-71.1323625	42.28606773	0.947368421	0.616915423	0.912257678	0.939501779	0.854010825	https://www.airbnb.com/rooms/1721016	17
5900522fec490a0264a2c82c	In-Law Apartment	-71.13140827	42.28389087	0	0.656716418	0.908710185	0.932384342	0.624452736	https://www.airbnb.com/rooms/12535687	19
5900522fec490a0264a2c82d	Cozy room near the arboretum	-71.13548936	42.29392464	0	0.44278607	0.922498895	0.957295374	0.580645085	https://www.airbnb.com/rooms/12994227	12
5900522fec490a0264a2c82e	Private House in Roslindale/Boston/Arboretum	-71.13273461	42.29061656	0.821052632	0.512437811	0.908113504	0.957295374	0.79972483	https://www.airbnb.com/rooms/12927298	12
5900522fec490a0264a2c82f	Gorgeous Boston Loft Style Condo!	-71.10338741	42.31379196	0	0.47761194	0.787597297	0.825622776	0.522708003	https://www.airbnb.com/rooms/169938	49
5900522fec490a0264a2c830	Private room in peaceful space	-71.11622135	42.30797481	0.924210526	0.179104478	0.843774733	0.893238434	0.710082043	https://www.airbnb.com/rooms/594693	30
5900522fec490a0264a2c831	"Loft bedroom, sleeps 2"	-71.1168273	42.30935659	0.934736842	0.164179104	0.848034181	0.893238434	0.71004714	https://www.airbnb.com/rooms/2384581	30
5900522fec490a0264a2c832	Part of a Large Condo Jamaica Plain	-71.11302542	42.31691221	0.926315789	0.358208955	0.817797078	0.886120996	0.747110705	https://www.airbnb.com/rooms/735970	32
5900522fec490a0264a2c833	Beautiful and sunny condo 	-71.10449361	42.30398456	0.993684211	0.303482587	0.807091601	0.939501779	0.760940044	https://www.airbnb.com/rooms/4262255	17
5900522fec490a0264a2c834	Sunlit room with private bath	-71.09909642	42.31632876	0.981052632	0.611940299	0.672449234	0.758007117	0.75586232	https://www.airbnb.com/rooms/4000384	68
5900522fec490a0264a2c835	"Bed, Bath and Beyond III in JP"	-71.1059405	42.32002252	0.926315789	0.552238806	0.74632596	0.854092527	0.769743271	https://www.airbnb.com/rooms/6693305	41
5900522fec490a0264a2c836	Private studio by subway w/parking	-71.10558689	42.31451961	0.981052632	0.457711443	0.779856227	0.857651246	0.769067887	https://www.airbnb.com/rooms/6730758	40
5900522fec490a0264a2c837	Spacious room convenient to subway	-71.10345882	42.32171967	0.964210526	0.68159204	0.730502327	0.818505338	0.798702558	https://www.airbnb.com/rooms/6248970	51
5900522fec490a0264a2c838	Artistic House Next To Jamaica Pond	-71.11563043	42.3167906	0	0.31840796	0.821737172	0.886120996	0.506566532	https://www.airbnb.com/rooms/12806707	32
5900522fec490a0264a2c839	"Cozy Room off Centre St, JP!"	-71.1053766	42.31951	0.713684211	0.582089552	0.74632596	0.84341637	0.721379023	https://www.airbnb.com/rooms/14246616	44
5900522fec490a0264a2c83a	Private floor in Jamaica Plain home	-71.11331606	42.31527457	0.926315789	0.333333333	0.818302952	0.871886121	0.737459549	https://www.airbnb.com/rooms/3703674	36
5900522fec490a0264a2c83b	Spacious room in secluded townhouse	-71.11706562	42.31549953	0.852631579	0.273631841	0.844308631	0.889679715	0.715062942	https://www.airbnb.com/rooms/4792901	31
5900522fec490a0264a2c83c	Charming Victorian near T	-71.10519471	42.31690481	0.898947368	0.492537313	0.769172907	0.814946619	0.743901052	https://www.airbnb.com/rooms/5717528	52
5900522fec490a0264a2c83d	"Beautiful, Expansive Space in JP"	-71.10315398	42.31189729	0.823157895	0.427860697	0.790618408	0.846975089	0.722153022	https://www.airbnb.com/rooms/5601743	43
5900522fec490a0264a2c83e	"Sunny room, colorful artist home"	-71.10358572	42.31706413	0	0.482587065	0.752796485	0.8113879	0.511692862	https://www.airbnb.com/rooms/13333862	53
5900522fec490a0264a2c83f	"Cozy Room + Private Bath, JP Boston"	-71.10643297	42.30510763	0.934736842	0.278606965	0.835316991	0.918149466	0.741702566	https://www.airbnb.com/rooms/519272	23
5900522fec490a0264a2c840	Lovely room with private half bath	-71.11327328	42.31590728	0	0.358208955	0.817797078	0.87544484	0.512862718	https://www.airbnb.com/rooms/14090779	35
5900522fec490a0264a2c841	"Beautiful, airy room in JP"	-71.0997234	42.31265282	0.947368421	0.587064677	0.686067498	0.754448399	0.743737248	https://www.airbnb.com/rooms/8481291	69
5900522fec490a0264a2c842	Cozy JP bedroom near Orange Line T	-71.09976783	42.31530071	0.983157895	0.587064677	0.671286042	0.747330961	0.747209893	https://www.airbnb.com/rooms/6990904	71
5900522fec490a0264a2c843	Great Boston neighborhood Jamaica PLain	-71.11832362	42.31319703	0.993684211	0.179104478	0.860297333	0.918149466	0.737808872	https://www.airbnb.com/rooms/197727	23
5900522fec490a0264a2c844	Qn BR/Private Bath/Superhost/JP Ctr	-71.10940661	42.31421512	0.964210526	0.437810945	0.797815892	0.90747331	0.776827668	https://www.airbnb.com/rooms/932853	26
5900522fec490a0264a2c845	Mark P.Coleman	-71.12607999	42.31256676	0.947368421	0.084577114	0.871313781	0.996441281	0.724925149	https://www.airbnb.com/rooms/11159585	1
